msno,city,bd,gender,registered_via,registration_init_time
Y6PmD6DuohpFkU3+jDETPqfAT6pdTmSmvVdGju27G8c=,5,33,male,9,20100519
sZvL5nzlb7NHgI9LdR905wp1bTAWn0EV7/JZSr6hLz8=,13,38,female,9,20101017
e0GJERVLYeTVf2vOitFO+RBq2eTP9fPcIsFFcl97UKY=,12,32,male,7,20101119
9YSlnU9oWrA+Bn3rcn4VSdVfyHF6GHvQnq2iAHQgdhI=,6,117,male,9,20070627
3opn2bcnqyClKw8oUoW1p4oMTGKNq3BEm7sGEpSkRWs=,13,41,male,9,20070422
fqSHM0zNa8ryGnnuoCyN32OLP+7GNfGoQPazmIwksoU=,4,29,male,9,20061211
NQJd4ga15bCNU0uQZRd7UqicTBWaEsgrElZNicXRHSQ=,22,42,male,9,20100114
MAFloN4qckabw2lXAwRswUbx3TxWN9x3L0p3sLxamJY=,22,34,male,3,20130818
6jDr4MkHnMcHkioLVB2GPLGJdkE8whAzkIAMYs90JaM=,5,21,female,3,20130909
qif+yV3B0+oD1LblYNOJ01lrTE5O1uygGf/fpQsNyIA=,1,0,,7,20121105
+0K1hLciInMxjDHBuuBymjaZ+M+++X/s6cizIgb6Zsk=,1,0,,7,20101223
HDGXYf8XxZlwp7Rw94MyGY+S7ex6CBHpdkLgiJCPr2A=,1,0,,7,20141123
JJh4lPPuv7XhzggD81jVZAbEobsUWD1Z2dMKZ8O2P+I=,8,0,,9,20141203
qEV4/vbH4f8plzKmNy4VOL5IGhV3G0iCjwM/mzhWC8I=,13,43,male,9,20100110
s5BvjlypXaVwpZ7pX7p03YE0PVFTqcqHCKWiHTSMZXo=,4,26,female,9,20100318
TDbWsY7AI2d2wMNEJ50PtWU4JHIEBuGYoPg2oJHoMGE=,13,22,male,9,20101225
5hQ2zyoUX+DVdw5KPNBEMzXeXGnZ7RC9ea/0KjTtcAk=,21,24,male,9,20101015
ZZ4XDUZM1pGl1cEecSgxeRd0aEj4sfgLdTCbKBOm8Qs=,1,0,,7,20151022
HcxX9APKlDEn7Fa/72bI/go/RmjvD/yjL8s6QbV1bv8=,1,0,,7,20151029
YijPdGDRkElYcXzTbYh1qCPOPVjf9MUAV8Xb+B01+20=,17,0,male,3,20150127
/WBtELe9uuFkIvLZAJ+pGxe8mP4dCgh/YyUKrL/BJZo=,1,0,,9,20150209
BL4WQKjvAzjuJzlFBGi5zsY3LAeChGzbeEdhL9SQ/UA=,1,0,,7,20150325
atCvSJ/cgBS4z9HXg1gezOa8uR5Fmpl3m5A3u0ZYAM0=,1,0,,7,20110218
eTC1OXRYUgGs54Wik3IBk5iJFey704BZ7szas2UKsgg=,9,30,male,7,20110305
eovdHI50TjYUvjyE2wK/9ywey4J7cqMTLJGp/Rs0nww=,12,22,female,3,20130609
o2uNFr+wv7RkGIpTkqJC1JtbSkPLLY5+j3uCkFSTZqI=,4,28,male,9,20091026
mAQVKH8kzJcdwFTThpdi6wXgE3KvvC21jqhMLfn/iOE=,22,19,male,9,20141212
WTMhvOHpnyABpRljfLmX1LMB6OPpHNiVDf4jTqvker8=,1,0,,7,20130717
fTxpa4lC8bFVm1hVfH9pxQFPw5gOAY9mB20leGdEHQE=,1,0,,7,20130729
l4PC6y7wJYov4YAL2X1M+MFKh3cxRVH1iNBXTGsVOvI=,15,26,male,4,20170217
twqbXnHDjH/8oGuOKdrIQHaSo2pj/GFk405jmRdtAbU=,1,0,,7,20170218
FFJYpLEhZaW2bCc4wPwEcgRfDlcPOzaiH5Uov23Nv0s=,1,0,,7,20131023
RFGdUZqNp8YR6faE0FNpyBy4AGqjS0/bpEwhitDSj8Q=,12,37,female,9,20040812
8RiGSQ6PhM7WBkGg0AFzSRHBu7y9FwwqORdFbqy8dLE=,15,35,male,9,20050326
HqNbXNaKxvLvC99mwgwOmCwr3liQYgBcm+30xGAq3OA=,15,23,female,4,20160306
FvqsGKDyXd8PtsgCYu1QiRT2qgMCQjKTyWD2XdlQwo8=,22,32,female,7,20110604
sDNf4qpG0zIoMcrQJi4x+WZMjUFnWlxQIEi226EhgZk=,4,21,male,3,20140204
DlHBExOzPws7jMDGfk/vpTB87hXJFNDDCoqM7Cr8Rbo=,1,0,,7,20120418
Kr9TPHLd7+fKZB7aBbQdY5DSOvhe+rI3eU5fKEUv7Sg=,5,25,female,7,20120621
rRhZHyCdjeTXmTHjFMpwus0Au31HyZLRyu8/T/nzk6c=,13,19,male,3,20120708
41F3riBWujhZL1wgeZH2bxpW1+BJ6Ov9FBe2Uuc6ah4=,1,0,,7,20120904
P9l+VBOokHizbfgDozl1yucGYDTziEywOscdAZvre3Q=,4,25,male,3,20120908
k+CV02ZnslhN1crC9MWeezviIRetyxiB2YPfj64ofs0=,5,40,male,3,20120913
dkoM5vdzXRGNIXqDEvcLikh9QpB2q+OGg0f7xyct2PI=,1,19,female,7,20131025
DEaX8/Df3QzL6FtxeVbvU5n1HwviLbjRFaPmRNl47dw=,22,24,,7,20131029
pE6XsMnMyanvTnzQy2Q8x+MZpXwr9fP/u+spf/Ufm3g=,13,0,,4,20160426
IiJw5Sm7gXc8iFrdolhmOhJoCF4G7CQzxtKwaw4PPAk=,6,20,female,3,20150404
zwHH0IaOxosCiS7ETLB0SEw5TIw672jfGqPcOm7EA/A=,1,27,male,4,20161105
xx2aezIWmFqWldUPXv6s5ixkeFoKqnPpsJ6ZQAaizRw=,1,0,,7,20161128
Mi0f4j45L7WmOXgPSmQpJvD5WwFyh1ebPTWlSvMtj0g=,15,20,male,3,20111230
Tka0yYdag4nY7Kx24SrJhhvftGQSfTEaElY/YZQdPQ0=,13,0,,3,20140703
VTYgoS5zwjyNhMMcwaIwowSis3lW7VrE6jmwmq5HtCk=,1,0,,7,20140712
a/qx29gXpk+CgFZu6oAznxyRtzF7CN2z7kYg6/JifCw=,1,0,,9,20150530
IE/uVBPToVTV8FDYoz6MbHR4+bC6Bq+kX8SkLwk2SjM=,1,0,,7,20150623
CFk6phmKNKhgOwg2kQa5VDaWvqirg0Ugu1KlgOW1Wq0=,1,0,,7,20140628
TfJJT/mDH7RPZ2jJ0V7NAQT3+8pxIJEBoIv+BVvciYU=,1,0,,7,20160629
q6qy1YuHoSNSttdtkxY2NfaBKkixvWuB5cKJKUMRy/A=,1,0,,4,20160630
GhxgDukjoh79TvxTG/y9ggUU2mGmXc4X7UBxv/Yb63Y=,1,0,,7,20160703
CLFQW2iUEtoBRhC8/Z+5mH3g8wEbABs8SPtbncF27eM=,5,22,male,9,20060813
KrxDSs/siRSxr9xQ/wK5quzhKea0Ifprel0I/eGXrH0=,22,26,male,9,20070107
UKwORBYfo5EoTmKyz88YgY9ZmeR8l9i+rouVe1QbyII=,9,25,female,3,20140307
hj+oYpUTdUd+ESA8+j29XG4u86iUa+aWvTarWWFzvoQ=,15,36,male,9,20140320
AtBdMiV9wviLv1zbvtXscpN0eGEPWvw09pq/T6gMVB4=,1,0,,7,20160726
HxsdfrM2PKMyTcR299e2w6HwNOTwAuKvMID+6jHYCoY=,1,0,,7,20160806
1uVlMIluL6L0yqOFlTQGgjf6I7wNSJKUUw3g7LaQtXc=,1,0,,7,20160808
IxHj7AfZY1+cAtW4L2oMbSB3pDYBnadHiL6i+Eg1+MA=,15,34,female,9,20100404
xVGteOg2Kq8eyYYLZrWOmdcKvdy6loFV9vXSnZzqdls=,1,0,,4,20160527
EbbYwBV2n73uw5CqETjP1n19ziJHDFAFnLo2kI52RQw=,1,0,,9,20160604
EhJZtxMo7jASnkDuGWDKktmCAGUXdWihmNBvpQJ3MpM=,13,36,male,9,20110725
BwJnccsvsqaCdWQXMvyE6wTezIWY1Xz2ib3VZwZdb4I=,14,24,female,7,20120331
m8n4X8Fb3u2j09hDcwJS2QW0O0oHhS86O7NxzY0mBwA=,15,25,male,9,20110930
IqyKa8+yjbKqGRRhpkIXvXSFiVkxEc6vnMts7meYVaM=,4,26,male,9,20110627
TeK35cchva4E6Dbv9OX9OxCVNYmrLmgb8+G792J6q9U=,15,25,male,9,20060423
xf81PYosIwbyV8a0SN5nLIOA1T2IKFPi6DVM+nO5vH0=,13,24,female,9,20060810
4UVyRKL5h2E5H7Lm0aUHvsqZwvis16Hh7B30bgOGTa0=,1,0,,7,20160710
lphN72pFgRxP0okJ1e4msRKYhsIbyRjqNNb+KsOZjAI=,13,37,male,7,20121202
hW4BDusqRhUZLEB8uX6bc9maeBoLzSEr2qe1IspvXwE=,1,0,,7,20170117
fM2c8/YAQZdzzNMx5WGfk4+kwVaImaHo8nOwPDbz5P8=,1,0,,7,20170117
NFFYlsKxcVG+HvQA0sHTKBPDl3Q4y8ECKwL+LdzCvPY=,22,19,male,9,20170125
jNS7kvVg7rbgIC28h+4bEewd3VLc0kH33Y1hJRct0Mg=,1,0,,7,20151114
xkAMqhl3vT1vPC4VJWuHybf+7+BZqG/KTDDSc08tKlw=,1,0,,7,20151122
5QPCUA3oTHndaBtesDsWykkyp5QUXyk7e/dumFaKUtQ=,14,24,male,9,20091101
/D9z5lB62i2cwnduyB3ZZ44ILVH1GGNRleERjndP0gw=,9,21,female,9,20101014
fvnKN4Jso3uhL6tZCva2zSlCcl6bS9nBedlESoOa/+8=,1,0,,7,20101124
FYkYcZxY58E2sax1j3hyYVQxHdyj+eKVeTDSFh6fGNM=,1,0,,7,20110824
2l1sHym3vl/i7yWlvcwLBeDDDqk3HRd2/z+1HeLvSCk=,1,0,,7,20130719
zht94VF4MJpYmH9HqQeYKOqCpTU6tm15ZWbb7qGh8lY=,1,0,,7,20130815
Hz1y4MQBQI0QLzyi1v/53tVWZseyJJonabksnk4qpmI=,8,24,female,9,20080101
SY1w94NpBfB4ayziNY+x9N76QvO9+3cLJ1yg2Y+/4r4=,5,35,female,9,20080111
s8ln2sS61ajrxuXP88qYKKaSQ5d1Rwra5tNkqz4+7+c=,21,10,male,9,20080117
GMjb9hry8tQv22QzFk8b6PXYFa1IM2RxPt9MyD5f+P8=,13,20,male,3,20140501
jZplyb1ib20nY/RM9IpdQ52ao8/9RkASdStL5mxgdCk=,3,20,female,9,20141216
mSuoR45orHWSAUAyYzQ74mJmRMot8CNl95BQ1TsNlhA=,1,0,,7,20140403
SDUUZ/+9PQ1P4D8o15LbzsICYssOx+MX+uxplTGeXZM=,15,24,male,3,20140411
ZqXnh0LFuEdScY/k+uTFmrj1RvD69TtsRVlf+6CTnUY=,1,0,,9,20151010
L8oJHRbrk3z/Be0cS/i2wjG6lALEh5TQruSY3y8+sPk=,1,0,,7,20120116
juJBi8V/7IpvdUNYbdrcJV4fm808PlFVs5/ZdpNhB2w=,5,40,female,7,20120213
+8h90FXthi5GNo3CUwb93Wpa8tUsFkl5rpnlzzjAiQA=,5,0,,9,20120409
ybXrxz/7hNwyRzmwPBNkfI2q+b26RxHAhG2GY7+Kl5c=,1,0,,4,20161010
aldWgSZBos9mfF+4D6XJe2PevK2I6sQcQBSmJ+4FryM=,4,27,female,3,20150618
efmC7gOPwaytJkKy0jtArvRprSfISYVSTDESXOHoiho=,14,31,female,7,20110902
mY10TGi9YZsh9L1+Lt6noMIld4qsC3RQfa5u/FZbkUA=,13,28,female,7,20160310
y72TTW7PwOCa1SpEFbrE5u73VjyQbxrIsadH5dZkAcA=,1,0,,7,20100624
X2eoamAuSQBcQws+3RfhEQ4z2yPto/7wMyJFrdSnRaA=,1,0,,7,20140310
1KpLRHbzsIbqOyXGx8cVbhHcMuCErlbCoY4mUEDJQYY=,13,33,male,3,20140331
8WyrBg19kUoIsuzfMy/aQAmJA00ATqjkNqhMfHS8jCA=,1,0,,7,20140410
3lMqfE6Z9n7sKvywx+/oQvj1lTbPjBJPFQzaxvCbXqI=,13,23,female,9,20071003
kiJwrs7FZiSAWgj7f6lA2hMctWd6pP6s2pDThs7A9TM=,1,0,,7,20100305
b2r5yTtqEeN8tD/N/5fVnCtbo9BkQNPNWS/TNHMaEAg=,1,0,,7,20130611
YL4bjCe6MRKxljRQlAX30BhPYjC4zeQnhxHHu40ye+M=,20,27,female,9,20090719
qMFnz2dRCKkDJC29FQ7u0xdnJkU9oL/N6AGTa8bR3LM=,21,23,female,9,20090930
DP30Mnc23oMOJ10Ei+6Z1e/LozAn2uLItzf+6NwIL+c=,4,22,female,3,20161105
Mr/PQk6KZr/8m7EBpU2iY30zoUMFX3vOtR1UZEkRPlE=,1,0,,7,20151203
O5YclqRNiKkSt7I912JMu1679jON4Fjw/r7lKpA+ad0=,5,45,female,9,20110702
uKHVxVgFpAdf7V6uSld/CaD/clxHV7PTQzxgHO9ClZ4=,13,28,male,7,20110912
X/99uxPmhmbQmoeEpanTwPzQY+jSgv/28c/evwLWdLE=,13,41,female,7,20110927
jtWwme4ZSVtwaJpl7Fvhe1N+8dDYxkli7rdEpYxO4lE=,1,0,,7,20111015
ntYLZr3CPQBauTgxLtgQShGpACZ8yrutXsYhcWfIb3M=,6,27,male,9,20120929
JWnGUsN4nJYKYVXY3SchPUjlchyBpfezPBvMTz5R9MI=,13,24,female,3,20121021
EqJtWhOsXbT6QK5Pc2lxcWyiNZKdq3NXCbFsG90JJw8=,1,0,,7,20160119
kB31fF1WtQGz3l8eKbmcEIn9CS70M0NzjS3+G4BhbtI=,13,26,male,3,20150616
+KLjzq59GdBFKjECVYrsL1TsbW99mZnT44e1JQ0hYtY=,1,30,female,3,20150621
wNtxcw6G+ezOetDka8VVwLGEwOHdoR0LewUTDt09J5k=,1,0,,7,20150706
HCA5Jds0MVVBiPzRSjeQmHbO4rAcNK4fkmt3GwyyhtQ=,5,27,female,3,20120906
gR0jSOP6eUJ9FER+j3qMjeFp264uDeWgUJ68k2t0iac=,1,0,,7,20160401
uN1r2MAU5ruz5WIImNKQf37jnBYUyiV6FCWW9ydD6Vs=,13,0,,9,20160409
BwFxBbTCbQymz9yXQBUkepZQBMFeptGkYfzBEWSor+0=,15,22,female,9,20070626
wlXkO02eQ+gZ2lAsxObd694P3+/3wpvri9cldJbExuQ=,12,23,female,7,20160630
CjzP4ySOKhjisA6rhNK5zf5Gtf8sE7P6tvk/lwpVSgY=,1,0,,7,20141031
pz5BDE9hhhtmQOP0ybnoEStdFwKQbt18GVyh3rdR6QU=,14,42,,9,20150316
gewP/5W5EuiUOGtT+O+viTyePQ4m96YBVgPZsi8b888=,1,0,,7,20121013
/TbWl1sogdAL5zU1CZ3k+WeUDrGURYSbFlaS4CLIHYM=,1,0,,7,20121030
/A/fC4055cWMXIwDWpnuUfehgaaNxc5w80gElAnwI2Q=,1,0,,7,20121101
sI8SEJYxZ5glo88QmGkNKpNX7y6NbZufK/fhN22gQ5U=,6,42,,7,20141231
FO4ZUL6422kyxaE4ApMcf/txPAvJwMTq8Z2Mr17Um8c=,1,0,,7,20131101
MVm1l91SZRYh+HjzCMu1FoNoj+sp3e74ZG3CQbYHFxU=,1,0,,7,20131125
Hd393O5Pc9W0l6iYPz0s6kTDGDb4uWZ4vfaFVCjUMic=,1,0,,7,20151203
KYEs3PnMF5mL3chv0j8GY06ANhuJhW+0mW8t89VYhTU=,1,0,,7,20150204
IQfkPN2h5k46xS6Uhv4ond4RLTQiYJt8pZo1plNLydA=,1,0,,7,20100413
yrbKOO4uJzDD3sdfdcpuyx3i6ZDOrY7e4EMvs48o1BE=,9,22,male,9,20100512
/S0HC/hlp5ia14A+FMsCtoDRHhgsQT43Ev7QsSTTclk=,22,30,male,9,20100717
gm9eZG9Zznc78/F9cjG/vLDmHnlRHHX1CExVCz7+y2I=,1,0,,7,20101020
AkIcKetn+oxGAswLkdbvIrmS5DjSf13dsVBtBYNLYCs=,1,0,,7,20140503
g7rVTAOjU4pfFRWHPzlQ4z4xz+K94OAMXs84KwJmBHc=,1,0,,9,20141024
nEvj/2R8NudreWeU9v5e40Y0b1vieduqgR0s3EhqpKo=,5,27,male,9,20070920
IO7sGiW6pCvyZVLS5ajQ7jvV4qtA5Lt1hHQWgWTagwQ=,13,23,female,9,20071020
owI/1v1+8zHYQeUobo5sK+x14R8SbA1PbpzSTruvWkc=,1,0,,7,20140205
X95izAXYpxHijhTtjxChYLztSHj5cPvFZ1baW+2guqs=,1,0,,7,20110319
daoIWIdoHN5KmsX81bFREoOJd54ca5mvaVJA1JYHYJM=,6,32,male,9,20110427
z4tBYGS/NA4l6gsOL6CEJonM7iAyEKbYneOd1U5fKfQ=,1,0,,7,20101115
nUB+y00Z07tArbKrt6RHr82uIy8sIo/Yq69+fg8fz00=,21,28,male,9,20101116
HFgQeMn6r278RksV3p9iRDYhqgBLLlXYmW90HX9gK5I=,1,0,,7,20101202
+aqAsqhDNPP4iUQ6IPO8zjd9bY7NuDioTsFDmepDzi0=,1,0,,7,20131005
BtUEqvLlM7O+0Cro7H6lrfDfE5hsmudeuIP2BQgw7Ro=,1,0,,7,20121227
Mskeej8Rbj4Wlm1diyvqC5Fkz6QwDzag+qcyPvX5eEM=,1,0,,7,20160105
+cAtMrhVM0/WdghckBZVNoblfzDhIHt/5XJhDpchyvY=,7,65,male,9,20070910
pv2A7bZGN61apcR2mXk1DiozM4xT7Rz3PfQzFplBHCA=,1,0,,7,20110615
dSqZLb5UvlvxzdP8zWNotHQ59WyACbGq2DmF5g39Od4=,4,37,female,9,20150511
f07UTstvmaMTgoAm4XAscRrvTG9eyO/BwhoN1NgCXTM=,13,22,female,9,20091031
7eK1gxq+5+Pt1tajQc74ib2ThxlrInr7KE6ZFf5yUMg=,22,25,female,3,20140624
wgy3oDr4ffVnGZVIM3WCXLRQIYxZ3ipr34xJIKyChD4=,14,46,female,9,20140701
dDHT7O/Es36hEHreFKguLycHIgrx5TmAraiecCeo9lw=,4,33,male,9,20060515
v6xB5E7fHoLIqD1dM4CPXKNoa6ISbEvKAXVgVoNMVSU=,22,39,female,9,20080119
CkZEnrUzy9qOwoHX2qMuwSoXp/xqqsSokINQsz304pg=,15,34,male,3,20130808
pcKXYrJ7/RPdEyCxAJk0yKJC6ElxmkdXoRhp9hdG8yI=,4,35,female,3,20130909
hvrqbMmUy+kYD5L4qtvgbfjXQpEYIWZHVu6e59W7Nlw=,22,0,female,7,20151116
cE9e4dzr4pfLTzHEHC32O/ziLTKE0TvYTLGmLmLzKi4=,6,31,female,3,20121127
FALgklsjuWHB5frKH6rOQbjM3i+S7G9XjVRFM6UiEVw=,1,0,,7,20121220
Makxw+rnBilgiz+aas3/vRTvOPv2Y7tUJswyDe7abG8=,1,0,,7,20121228
crBdx8nlO68yCwOuN8AeIWmW9aJic8GK3spT/TmHMBI=,1,0,,7,20130111
lw+HQ3ZpV5+3IRNQ1QEF+YYkHOmeMzUk9D+CbRfPu3I=,4,20,male,9,20110320
sg0VpQ06MIpN21R3dkaz22IVa4qr3v39ZiOv2g6oS7o=,1,0,,7,20110321
hcLRBlywuPSYCOyAPn5NPttAwG1iAexT1nCcYLx7cis=,13,33,male,9,20110412
ptxppFha6iyIl8OcXakXlOfUTeB/E91X6zRKa45jvqI=,1,0,,7,20160217
4otA0ckKwHkS+9EDujKr/3tJrxEjxne96GgI6o4coq4=,1,0,,7,20160220
8Vp+wABLWbP5fW/mCf0/OvCDCfBCUusZW3nkz36W9Pk=,1,0,,7,20161225
+75RN8y0iPl/OE8qvnTFhDeC5eypnaxNh/pDVvQE8VY=,1,0,,7,20170124
/NVA2RLphrboTUQWOwhusZq7rMu2K+cK2Jzx3IXS7rk=,1,48,female,7,20130708
ppPVLXemO6vY6wG6UDRHylKhw2DBTNXsB0x5VEPBzfs=,1,0,,7,20140205
/SjCVkzElLZTj5ZOCB4KJLlBpPSDsT6ti5l3lq4FQDI=,1,0,,7,20140222
wF6x5CUxXnsIusqJLHVAt7O4v+s+xfwn74lLJxbMeo0=,12,35,female,9,20161214
lLuEm9Ugcd/rz7JROrZJJkyJHROGkCDNHxT2dHgnY0o=,5,24,male,4,20161227
otU4tMKXhPoczLOO6YfUN/geKf20VSIEnmf0OJaNhIE=,1,0,,7,20161228
3q1m2SgWYvAVpoESezLbkvBY+x3BnOaBE19YaEFCu74=,13,25,female,3,20120223
fZ4jsVtbB6iMs38Hv7oUSgd4a9uL1TPtJg+j463cVN8=,6,35,male,9,20070610
6f6gPMqJbZfUpdTdAlAL0DfS3XSKgZJUh7P8JG+adWY=,22,41,male,9,20071021
ZQv+BZoqF9eth59P++H4GvfB6+kH9h/uHrvz8wXyRBs=,13,26,,7,20130827
eBUYvqDlCSFQITBQ9V6BTWKJcgZhtrX+SUFecQe0WQQ=,5,0,,9,20080410
vZdgpyCUXkrDUksko8+qmNElEOi1z+5W/wVi7TaJAuw=,13,38,female,9,20080826
tLM8KzFMK+wvca6jEZ7pzXhYdZqp3UHNQx5l2FSXle0=,5,44,,3,20140430
6alXUEaZsBoFrSlPB4DBobAi7DqLUw7SUxjNSbR2I2w=,1,0,,7,20140509
cULUsfIpdBep+JORHHbqxkq7AaZti1hiEafnXFlcziM=,13,22,male,3,20140515
ftcLO63lh1UtguFFEstDLEODxtHcRLAaoIapA2Vh9Lo=,15,21,female,3,20140620
QGHK/TUQOX+n8KrEKvNtG3Z2HQ63rnRDLuzx0pnGFx4=,15,20,male,7,20140105
M8xlKVeEW4XGzASQqsAJwlcPjEsLGTAGejh7HHqO/yA=,1,0,,7,20140113
md3SkIUbxFDvPM5Z6+Wa25D1YcV+m+LKLZtytz+X29U=,1,0,,7,20160319
690iyhDQNmZ6ri/cwTTrvakyYFfyzBcOS5FxLnkVYfY=,1,0,,7,20160517
nVjO7euZX94g8cdQYhUp1HioZS8495Gy4peS0X6sNIo=,4,34,male,9,20060128
2SAGAjn7N16DXyDFWoEW7mlri9/B4IeTlVfOeFgQIBI=,12,32,male,9,20111215
qwcrXa+FjnEoQ5HU29pXx2JpTSpTz3tq4xS5pYnsU2g=,1,0,,7,20111217
KgwEGXoUYEkKwdUuBD/5jAY9W9hrC2O7hfM/VqB0PUQ=,1,0,,7,20111221
Sh8Jc+4Wt82zMlKo3md7eJYPagmINoklM6ZPpAo+zG8=,5,48,male,7,20120108
RDYTZ7yQV0lSxK6mRBtCHNtdTxgFWhtuMipSER0G5mU=,9,27,female,3,20131003
wejvMWFa68cC7euZwfmwjnQ5axpRXpcSn91Ans1WX1o=,1,0,,7,20130814
Cnx0o9cISWg9sBVQFnZTrtkYvikAetosks/RW89AQlw=,1,0,,7,20110522
rGJ7GFKj8dH4b6M7FU4ZsPuGp54qty4Wdd2/WsDQcUc=,1,0,,7,20160707
06WxKD6VrnHn6XR7zUnFl8yzZabcIECAyvNpVLlozEM=,15,32,male,9,20040327
eSZa0lEbvRAvoZzPoDl138VXgePQsgekW79kxMjX+Fs=,5,59,male,9,20050602
NfKN5ZxvXS3/3iK5tGfxS+g4zB38jOBphLe3CNJm/0c=,6,30,male,9,20050929
DKkFbC1hGfh1UGLuHXxi9siDGrZJHjx+B3nqZ6d7xP8=,22,16,male,9,20051123
FwIQZBgihCl7O/TLi8RnNaz1R4lbHit3AFPQIG0hK+8=,5,0,,7,20101029
77hWM//n2AQoOINxg5Cs0t+qpvCfFQxO03ZNaKKnVuY=,13,43,male,9,20101206
fYNQqEDYBdqEs9Kxo7gKwEyHztYrMTXcwNyATDfNjr4=,15,28,female,9,20141030
EPW1RZqtq1USyq1C8Yczz+1tIULVPo233tej4yDKrEU=,13,30,male,9,20080604
YVsgoqO85JAh4zRNa6q+t+BwmqiUoAxPE3+T/ql3e+g=,22,26,male,9,20080727
1UU62FcsYpeHevZNzx9M0hBFoRwTs/9SyBS3/Pf9V5s=,6,33,male,9,20080816
G6UXa8Bz1u1vNw24tNJn4ba+xRIzKCIPfzG9Z45U5uo=,1,0,,7,20140924
9hO2URljo1oNyYL1qMMChSc+OHmxvgXm5eGYYdobMgU=,5,28,female,7,20141007
JAb9qy243Cyz/VM0PDYz0D6BAC+fOe9iy/F1GuKRX24=,13,48,female,7,20141008
GyP+BtnQO91Ys6jmr0ian6cmNowg+kzqxY5rXLZUHyk=,1,0,,7,20120204
hZE+Cm33hw99hOb+rOzbDQ4uWuyLmrkKDH5ouwiVJ70=,1,0,,7,20151208
q6qFPsJ7aP67fud60MrN+SB6gA7JdwgFBLpR6kejQPo=,1,0,,7,20151210
+fQSj1WbVUaTYprstag2rxvChu/fpq6jUmgTzSQzU/U=,14,30,male,3,20160203
fTJf3YbNU1yE4s+6X5fnRnVGELfR3v+OaK89m0Fq0as=,1,0,,7,20160204
3Uz8U5Dc1i80loMWbjOri110lqXq4+hbE7ZAuGjFIO0=,1,0,,7,20160206
yQi9BTdqBuAsJGStBRZ+A7iH6/I0yCIlmpOF7ILQe3A=,1,0,,7,20160215
jfS6HupEh4gYz41kZYa2GFa4RICz1kHoWxPYfjlmTcA=,4,44,male,7,20150512
jc/gvK+GAjA9NkfkY89M6qHsezhR5BZFCUWcYTCLvWg=,1,0,,7,20160124
OdopK9x6kLTtufPm6BwxrntgDFxzbMJabE9jjYArDYk=,1,0,,7,20151226
KnmU33Ezl8BebN4iR4WEOFdd6of+5wr0IUaUNTicjmw=,1,0,,7,20160104
hjZcv+3hphX8qX1du1uPHypqo62GU57L2jfuDPYRQAc=,1,0,,7,20110617
xzMu2L8w3kelfPkGQrKb/AKOgYOwwuJQifnu9huO1zU=,1,0,,7,20140511
SIyVEiJ+ZywljrNJpb+wmp8gNxlQLGuvhq2CvteuZEY=,15,45,male,9,20071119
H3veJjg+FGbzUZjzfl5nXa9G4cLyzGyeYgxpHnxyqPo=,1,0,,7,20101104
dGacDoc/rQ+2/oa/8BYKTACoxA9OSl6halTJ1o+NR9U=,1,0,,7,20101126
Sp3Tc5S0isHft4YOFrDojhHxv4mVmibBODFd2ROOUs8=,15,36,male,3,20131002
6pLvTCVj/nK1EvKjKoX6p+eB/Peuzwi6HbLdNrpi13A=,14,32,female,9,20090928
mrpG0KkZzFhFoLu5pIA788zDvTRXu/uv+kwU6IoQij8=,13,24,female,9,20091121
dw7UPUmrqDZmyNGbgKG7hzpZKcmnTYXIC/1D2TTIDF4=,6,23,female,9,20120927
3JILYrBCHgUNphiIw1MfP2u2GnLd22mssuUHOjzjxfQ=,1,0,,7,20121204
qULxpx//90yjEVF7tfeM4cd4lmflZRQCdvBasiihd5w=,1,0,,7,20170211
eJlOofw6AJ+/5oBgkfddm3dQGTeIm2UljWHKMqtnfcg=,1,0,,9,20170217
nP8qgw+HPPtltFV8NHEhIux6PX5LMQoQZs/LTpVuQOA=,1,0,,7,20170221
zUxPfZ5FiUadKX0yyPe3vzA2/uY400Uv1TdrSztt6Sg=,15,27,male,9,20140712
OcQndSeO8m48MMlGhXN/21IfhxSIiVKAKfMUwZ2mjIU=,15,29,male,7,20151130
n+vAXxhh32ejDnRzkJviGAln/NnNtY6eTxvpbn/Qjms=,9,24,male,9,20070714
7J8DdRXaA2Y+tV7N7KX3VD5yelqwXfI2+/GuQHuyEBg=,1,0,,7,20170122
WuL7i129+XiZD8d277DSNXlDHhUgmyKCkf1rUup3wb8=,1,0,,7,20170206
6OhIwukXivjAqKd5YYAyT5M4BXHMy1JbbPPU4mB3lXk=,22,0,,9,20170207
ZfG2LrZ7UxSaTlF+35Xdpqma2jNlaEJwgu1EpuCXmfI=,5,14,male,3,20130711
45RypA9lQdgdLe/Mu8JmXjZ4ztI+R57V3SiiroHw7K0=,4,26,male,3,20130806
iw1pIAxVLFaK/NCnGjn65a7Y6XK2VQzX6YzAJ50vb5k=,5,19,female,3,20130820
5KtFzDXwnc2gF8fvtvuRzgdX3tB5AqO21fSaGaJXfsI=,13,0,,3,20130824
QCuzy1da52ZLKB/6e08AjVDTk93RRokK5o49gxqetqM=,1,0,,7,20130906
MntFDnvqq26FvlvP6Ro+1gvrA+YOi8hg640qPVi4EzU=,22,0,,3,20131029
s6JC9+taMt68xJPDcz2XkiAFP2jqkufTQ+fuXwS0Vpc=,4,51,female,7,20131112
